title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://pythonhow.com;barc.jpeg
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;barc.jpeg
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://pythonhow.com;barc.jpeg
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;barc.jpeg
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;barc.jpeg
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;barc.jpeg
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;barc.jpeg
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;barc.jpeg
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;barc.jpeg
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;barc.jpeg
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;barc.jpeg
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;barc.jpeg
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;barc.jpeg
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;barc.jpeg
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;barc.jpeg
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;barc.jpeg
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;barc.jpeg
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;barc.jpeg
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;barc.jpeg
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;barc.jpeg
